Cust Name,Sales,Profit,State
Claire Gute,261.96,41.9136,Kentucky
Claire Gute,731.94,219.582,Kentucky
Darrin Van Huff,14.62,6.8714,California
Sean O'Donnell,957.5775,-383.031,Florida
Sean O'Donnell,22.368,2.5164,Florida
Brosina Hoffman,48.86,14.1694,California
Brosina Hoffman,7.28,1.9656,California
Brosina Hoffman,907.152,90.7152,California
Brosina Hoffman,18.504,5.7825,California
Brosina Hoffman,114.9,34.47,California
Brosina Hoffman,1706.184,85.3092,California
Brosina Hoffman,911.424,68.3568,California
Andrew Allen,15.552,5.4432,North Carolina
Irene Maddox,407.976,132.5922,Washington
Harold Pawlan,68.81,-123.858,Texas
Harold Pawlan,2.544,-3.816,Texas
Pete Kriz,665.88,13.3176,Wisconsin
Alejandro Grove,55.5,9.99,Utah
Zuschuss Donatelli,8.56,2.4824,California
Zuschuss Donatelli,213.48,16.011,California
Zuschuss Donatelli,22.72,7.384,California
Ken Black,19.46,5.0596,Nebraska
Ken Black,60.34,15.6884,Nebraska
Sandra Flanagan,71.372,-1.0196,Pennsylvania
Emily Burns,1044.63,240.2649,Utah
Eric Hoffmann,11.648,4.2224,California
Eric Hoffmann,90.57,11.7741,California
Tracy Blumstein,3083.43,-1665.0522,Pennsylvania
Tracy Blumstein,9.618,-7.0532,Pennsylvania
Tracy Blumstein,124.2,15.525,Pennsylvania
Tracy Blumstein,3.264,1.1016,Pennsylvania
Tracy Blumstein,86.304,9.7092,Pennsylvania
Tracy Blumstein,6.858,-5.715,Pennsylvania
Tracy Blumstein,15.76,3.546,Pennsylvania
Matt Abelman,29.472,9.9468,Texas
Gene Hale,1097.544,123.4737,Texas
Gene Hale,190.92,-147.963,Texas
Steve Nguyen,113.328,35.415,Texas
Steve Nguyen,532.3992,-46.9764,Texas
Steve Nguyen,212.058,-15.147,Texas
Steve Nguyen,371.168,41.7564,Texas
Linda Cazamias,147.168,16.5564,Illinois
Ruben Ausman,77.88,3.894,California
Erin Smith,95.616,9.5616,Florida
Odella Nelson,45.98,19.7714,Minnesota
Odella Nelson,17.46,8.2062,Minnesota
Patrick O'Donnell,211.96,8.4784,Michigan
Lena Hernandez,45,4.95,Delaware
Lena Hernandez,21.8,6.104,Delaware
Darren Powers,38.22,17.9634,Indiana
Darren Powers,75.18,35.3346,Indiana
Darren Powers,6.16,2.9568,Indiana
Darren Powers,89.99,17.0981,Indiana
Janet Molinari,15.26,6.2566,New York
Janet Molinari,1029.95,298.6855,New York
Ted Butterfield,208.56,52.14,New York
Ted Butterfield,32.4,15.552,New York
Ted Butterfield,319.41,7.098,New York
Ted Butterfield,14.56,6.9888,New York
Ted Butterfield,30,3.3,New York
Ted Butterfield,48.48,16.362,New York
Ted Butterfield,1.68,0.84,New York
Kunst Miller,13.98,6.1512,California
Kunst Miller,25.824,9.3612,California
Kunst Miller,146.73,68.9631,California
Kunst Miller,79.76,22.3328,California
Paul Stevenson,213.115,-15.2225,Illinois
Brendan Sweed,1113.024,111.3024,Arizona
Brendan Sweed,167.968,62.988,Arizona
Karen Daniels,75.88,35.6636,Virginia
Henry MacAllister,4.616,1.731,New York
Tracy Blumstein,19.05,8.763,Michigan
Joel Eaton,831.936,-114.3912,Tennessee
Joel Eaton,97.04,1.213,Tennessee
Joel Eaton,72.784,-18.196,Tennessee
Ken Brennan,1.248,-1.9344,Texas
Ken Brennan,9.708,-5.8248,Texas
Ken Brennan,27.24,2.724,Texas
Joel Eaton,19.3,-14.475,Texas
Stewart Carmichael,208.16,56.2032,Alabama
Stewart Carmichael,16.74,8.0352,Alabama
Duane Noonan,14.9,4.172,California
Duane Noonan,21.39,6.2031,California
Julie Creighton,200.984,62.8075,North Carolina
Christopher Schild,230.376,-48.9549,Illinois
Patrick O'Donnell,301.96,33.2156,South Carolina
Paul Gonzalez,19.99,6.7966,Minnesota
Paul Gonzalez,6.16,2.9568,Minnesota
Gary Mitchum,158.368,13.8572,Texas
Jim Sink,20.1,6.633,California
Jim Sink,73.584,8.2782,California
Jim Sink,6.48,3.1104,California
Karl Braun,12.96,6.2208,Minnesota
Karl Braun,53.34,16.5354,Minnesota
Karl Braun,32.96,16.1504,Minnesota
Roger Barcio,5.682,-3.788,Oregon
Parhena Norris,96.53,40.5426,New York
Katherine Ducich,51.312,17.9592,California
Elpida Rittenbach,77.88,22.5852,Minnesota
Rick Bensley,64.624,22.6184,Illinois
Rick Bensley,95.976,-10.7973,Illinois
